symptoms,prescription
"ear pain, cough","ondansetron 4mg tid, hydrocortisone cream bid, urine analysis"
"muscle pain, sore throat, cough","hydrocortisone cream bid, salbutamol inhaler prn, iron supplements od, stool test"
"shortness of breath, loss of appetite, back pain","diclofenac 50mg bid, cetirizine 10mg od, metronidazole 400mg tid, throat swab culture, spirometry"
"diarrhea, body ache, abdominal pain","paracetamol 500mg tid, ibuprofen 400mg bid, pantoprazole 40mg od, liver function test, ecg test"
"vomiting, sore throat, body ache","ondansetron 4mg tid, atorvastatin 10mg od, salbutamol inhaler prn, throat swab culture"
"ear pain, sore throat","oral rehydration salts, atorvastatin 10mg od, liver function test, cbc blood test"
"ear pain, burning urination","azithromycin 500mg od, ibuprofen 400mg bid, urine analysis"
"loss of smell, cough, diarrhea","loratadine 10mg od, levocetirizine 5mg od, oral rehydration salts, x-ray chest"
"sneezing, fever, eye redness","oral rehydration salts, iron supplements od, cbc blood test"
"loss of smell, vomiting, back pain","azithromycin 500mg od, atorvastatin 10mg od, oral rehydration salts, malaria parasite test"
"loss of appetite, productive cough","iron supplements od, metronidazole 400mg tid, cetirizine 10mg od, dengue test, ecg test"
"back pain, diarrhea","doxycycline 100mg bid, ibuprofen 400mg bid, spirometry, serum electrolytes"
"skin rash, burning urination, sore throat","cetirizine 10mg od, multivitamin daily, stool test, kidney function test"
"chest pain, shortness of breath, sneezing","salbutamol inhaler prn, diclofenac 50mg bid, malaria parasite test, liver function test"
"eye redness, difficulty breathing, body ache, dizziness","ibuprofen 400mg bid, oral rehydration salts, ondansetron 4mg tid, liver function test, stool test"
"loss of smell, productive cough, dizziness, burning urination","ibuprofen 400mg bid, diclofenac 50mg bid, salbutamol inhaler prn, stool test, serum electrolytes"
"fatigue, burning urination, loss of smell","pantoprazole 40mg od, ondansetron 4mg tid, diclofenac 50mg bid, liver function test, stool test"
"productive cough, fever, vomiting, fatigue","ibuprofen 400mg bid, cetirizine 10mg od, cbc blood test, spirometry"
"sneezing, eye redness, shortness of breath","levocetirizine 5mg od, diclofenac 50mg bid, iron supplements od, dengue test, cbc blood test"
"dizziness, skin rash","azithromycin 500mg od, salbutamol inhaler prn, cbc blood test"
"runny nose, frequent urination, fatigue","salbutamol inhaler prn, hydrocortisone cream bid, kidney function test, liver function test"
"chest pain, body ache, sneezing","iron supplements od, cetirizine 10mg od, stool test, spirometry"
"fever, body ache","metronidazole 400mg tid, iron supplements od, ibuprofen 400mg bid, x-ray chest, malaria parasite test"
"dizziness, diarrhea, cough, shortness of breath","loratadine 10mg od, iron supplements od, kidney function test"
"fever, swelling","atorvastatin 10mg od, pantoprazole 40mg od, oral rehydration salts, spirometry, stool test"
"palpitations, sneezing","oral rehydration salts, diclofenac 50mg bid, blood sugar test"
"difficulty breathing, vomiting, night sweats","paracetamol 500mg tid, salbutamol inhaler prn, spirometry"
"palpitations, burning urination, frequent urination, swelling","hydrocortisone cream bid, iron supplements od, serum electrolytes"
"sore throat, skin rash, diarrhea","azithromycin 500mg od, paracetamol 500mg tid, throat swab culture"
"skin rash, swelling, night sweats, body ache","multivitamin daily, atorvastatin 10mg od, doxycycline 100mg bid, stool test, blood sugar test"
"burning urination, productive cough","multivitamin daily, salbutamol inhaler prn, paracetamol 500mg tid, liver function test, serum electrolytes"
"back pain, sneezing","metronidazole 400mg tid, oral rehydration salts, loratadine 10mg od, x-ray chest, malaria parasite test"
"fever, loss of taste, eye redness, weight loss","amoxicillin 500mg tid, paracetamol 500mg tid, cbc blood test, blood sugar test"
"frequent urination, eye redness, muscle pain, headache","paracetamol 500mg tid, iron supplements od, levocetirizine 5mg od, malaria parasite test"
"cough, weight loss, muscle pain","paracetamol 500mg tid, metronidazole 400mg tid, stool test, dengue test"
"loss of appetite, eye redness, vomiting, shortness of breath","ondansetron 4mg tid, multivitamin daily, doxycycline 100mg bid, ecg test"
"loss of appetite, chest pain, diarrhea","paracetamol 500mg tid, salbutamol inhaler prn, urine analysis, stool test"
"weight loss, frequent urination","diclofenac 50mg bid, salbutamol inhaler prn, ibuprofen 400mg bid, x-ray chest, liver function test"
"loss of smell, weight loss, cough, dizziness","metronidazole 400mg tid, amoxicillin 500mg tid, oral rehydration salts, cbc blood test, serum electrolytes"
"eye redness, sneezing","salbutamol inhaler prn, pantoprazole 40mg od, blood sugar test"
"eye redness, runny nose, dizziness, loss of appetite","ondansetron 4mg tid, iron supplements od, kidney function test, throat swab culture"
"night sweats, swelling, chest pain, weight loss","iron supplements od, pantoprazole 40mg od, x-ray chest, kidney function test"
"weight loss, muscle pain, fever","loratadine 10mg od, paracetamol 500mg tid, cbc blood test"
"fever, night sweats","atorvastatin 10mg od, azithromycin 500mg od, dengue test"
"night sweats, loss of appetite, headache, runny nose","doxycycline 100mg bid, amoxicillin 500mg tid, salbutamol inhaler prn, x-ray chest"
"back pain, ear pain","ibuprofen 400mg bid, ondansetron 4mg tid, stool test, x-ray chest"
"loss of smell, burning urination, sore throat, night sweats","salbutamol inhaler prn, levocetirizine 5mg od, throat swab culture"
"joint pain, eye redness, runny nose","ibuprofen 400mg bid, ondansetron 4mg tid, atorvastatin 10mg od, blood sugar test, cbc blood test"
"loss of taste, dizziness, cough, loss of smell","metronidazole 400mg tid, paracetamol 500mg tid, stool test, x-ray chest"
"loss of taste, sore throat, itching","loratadine 10mg od, salbutamol inhaler prn, x-ray chest"
"abdominal pain, swelling, back pain","cetirizine 10mg od, azithromycin 500mg od, oral rehydration salts, stool test"
"muscle pain, weight loss, vomiting","levocetirizine 5mg od, paracetamol 500mg tid, pantoprazole 40mg od, cbc blood test, dengue test"
"diarrhea, fever, sneezing, weight loss","salbutamol inhaler prn, atorvastatin 10mg od, cbc blood test, kidney function test"
"diarrhea, productive cough","atorvastatin 10mg od, doxycycline 100mg bid, serum electrolytes, x-ray chest"
"itching, swelling","azithromycin 500mg od, ibuprofen 400mg bid, amoxicillin 500mg tid, throat swab culture"
"dizziness, palpitations, body ache, skin rash","azithromycin 500mg od, loratadine 10mg od, cbc blood test, spirometry"
"palpitations, abdominal pain, loss of smell","amoxicillin 500mg tid, ibuprofen 400mg bid, ondansetron 4mg tid, liver function test"
"sneezing, headache","pantoprazole 40mg od, loratadine 10mg od, x-ray chest"
"diarrhea, loss of smell, eye redness","pantoprazole 40mg od, doxycycline 100mg bid, diclofenac 50mg bid, stool test"
"palpitations, chest pain, cough, weight loss","hydrocortisone cream bid, amoxicillin 500mg tid, diclofenac 50mg bid, malaria parasite test"
"sore throat, skin rash, night sweats, ear pain","diclofenac 50mg bid, salbutamol inhaler prn, cbc blood test, spirometry"
"difficulty breathing, loss of taste, back pain","azithromycin 500mg od, metronidazole 400mg tid, amoxicillin 500mg tid, serum electrolytes, x-ray chest"
"runny nose, skin rash, loss of smell, weight loss","iron supplements od, amoxicillin 500mg tid, spirometry"
"night sweats, frequent urination","amoxicillin 500mg tid, hydrocortisone cream bid, malaria parasite test"
"cough, swelling, loss of appetite","levocetirizine 5mg od, iron supplements od, diclofenac 50mg bid, x-ray chest, ecg test"
"productive cough, night sweats, sneezing","hydrocortisone cream bid, amoxicillin 500mg tid, malaria parasite test, blood sugar test"
"skin rash, chest pain, palpitations, ear pain","diclofenac 50mg bid, multivitamin daily, iron supplements od, malaria parasite test, blood sugar test"
"swelling, headache, burning urination","pantoprazole 40mg od, loratadine 10mg od, throat swab culture, x-ray chest"
"difficulty breathing, vomiting, joint pain","salbutamol inhaler prn, doxycycline 100mg bid, iron supplements od, malaria parasite test, kidney function test"
"frequent urination, chest pain, burning urination, cough","loratadine 10mg od, multivitamin daily, ecg test, spirometry"
"chest pain, skin rash, cough, vomiting","oral rehydration salts, ibuprofen 400mg bid, x-ray chest"
"headache, night sweats, sneezing, joint pain","atorvastatin 10mg od, ibuprofen 400mg bid, pantoprazole 40mg od, ecg test"
"loss of appetite, shortness of breath, frequent urination, itching","atorvastatin 10mg od, ondansetron 4mg tid, ecg test"
"skin rash, ear pain","azithromycin 500mg od, atorvastatin 10mg od, amoxicillin 500mg tid, stool test"
"shortness of breath, sneezing, loss of appetite","atorvastatin 10mg od, diclofenac 50mg bid, cetirizine 10mg od, ecg test, liver function test"
"cough, chest pain","azithromycin 500mg od, iron supplements od, spirometry"
"burning urination, weight loss, sore throat","diclofenac 50mg bid, metronidazole 400mg tid, levocetirizine 5mg od, throat swab culture, stool test"
"runny nose, weight loss, chest pain","metronidazole 400mg tid, hydrocortisone cream bid, dengue test"
"muscle pain, back pain, weight loss, palpitations","oral rehydration salts, iron supplements od, pantoprazole 40mg od, cbc blood test"
"cough, shortness of breath, productive cough","diclofenac 50mg bid, ondansetron 4mg tid, blood sugar test, serum electrolytes"
"skin rash, back pain","cetirizine 10mg od, azithromycin 500mg od, oral rehydration salts, x-ray chest, cbc blood test"
"fatigue, ear pain","levocetirizine 5mg od, iron supplements od, ecg test"
"chest pain, body ache, burning urination, skin rash","pantoprazole 40mg od, salbutamol inhaler prn, doxycycline 100mg bid, stool test, x-ray chest"
"swelling, difficulty breathing, loss of appetite, frequent urination","paracetamol 500mg tid, ondansetron 4mg tid, liver function test, serum electrolytes"
"body ache, night sweats, frequent urination, difficulty breathing","loratadine 10mg od, cetirizine 10mg od, x-ray chest"
"skin rash, fatigue, itching, shortness of breath","doxycycline 100mg bid, atorvastatin 10mg od, ondansetron 4mg tid, liver function test"
"vomiting, dizziness, skin rash, burning urination","cetirizine 10mg od, iron supplements od, doxycycline 100mg bid, stool test, blood sugar test"
"loss of taste, fever","atorvastatin 10mg od, loratadine 10mg od, multivitamin daily, dengue test, malaria parasite test"
"night sweats, muscle pain, burning urination","atorvastatin 10mg od, levocetirizine 5mg od, multivitamin daily, blood sugar test, malaria parasite test"
"back pain, muscle pain, diarrhea","ondansetron 4mg tid, atorvastatin 10mg od, amoxicillin 500mg tid, throat swab culture, serum electrolytes"
"vomiting, joint pain, productive cough, cough","paracetamol 500mg tid, azithromycin 500mg od, salbutamol inhaler prn, ecg test, urine analysis"
"dizziness, cough, frequent urination","iron supplements od, pantoprazole 40mg od, atorvastatin 10mg od, dengue test, ecg test"
"palpitations, burning urination, shortness of breath","diclofenac 50mg bid, atorvastatin 10mg od, ibuprofen 400mg bid, liver function test, malaria parasite test"
"frequent urination, shortness of breath, loss of taste, dizziness","atorvastatin 10mg od, loratadine 10mg od, serum electrolytes, kidney function test"
"productive cough, muscle pain","azithromycin 500mg od, cetirizine 10mg od, kidney function test, cbc blood test"
"loss of appetite, chest pain","multivitamin daily, amoxicillin 500mg tid, cetirizine 10mg od, blood sugar test, urine analysis"
"headache, cough, eye redness, back pain","iron supplements od, amoxicillin 500mg tid, oral rehydration salts, cbc blood test"
"vomiting, sneezing","diclofenac 50mg bid, loratadine 10mg od, liver function test, spirometry"
"back pain, palpitations, skin rash, vomiting","oral rehydration salts, paracetamol 500mg tid, urine analysis"
"burning urination, cough, abdominal pain, itching","cetirizine 10mg od, loratadine 10mg od, levocetirizine 5mg od, urine analysis"
"muscle pain, sneezing","atorvastatin 10mg od, ondansetron 4mg tid, azithromycin 500mg od, malaria parasite test, kidney function test"
"shortness of breath, difficulty breathing, vomiting, runny nose","levocetirizine 5mg od, oral rehydration salts, kidney function test"
"body ache, difficulty breathing, itching","ondansetron 4mg tid, ibuprofen 400mg bid, cbc blood test"
"fever, sneezing, loss of appetite","iron supplements od, amoxicillin 500mg tid, metronidazole 400mg tid, urine analysis"
"joint pain, loss of smell","pantoprazole 40mg od, loratadine 10mg od, salbutamol inhaler prn, blood sugar test, ecg test"
"itching, chest pain","iron supplements od, loratadine 10mg od, cbc blood test, ecg test"
"swelling, diarrhea","salbutamol inhaler prn, iron supplements od, metronidazole 400mg tid, spirometry, malaria parasite test"
"burning urination, runny nose, joint pain, eye redness","ondansetron 4mg tid, atorvastatin 10mg od, serum electrolytes, liver function test"
"difficulty breathing, loss of taste, fever, chest pain","oral rehydration salts, salbutamol inhaler prn, dengue test"
"chest pain, muscle pain, night sweats, burning urination","oral rehydration salts, cetirizine 10mg od, amoxicillin 500mg tid, dengue test"
"abdominal pain, shortness of breath, chest pain, fever","iron supplements od, azithromycin 500mg od, liver function test, throat swab culture"
"body ache, fever, productive cough, muscle pain","diclofenac 50mg bid, ibuprofen 400mg bid, salbutamol inhaler prn, serum electrolytes, malaria parasite test"
"fever, fatigue","doxycycline 100mg bid, ondansetron 4mg tid, metronidazole 400mg tid, urine analysis, malaria parasite test"
"joint pain, burning urination","pantoprazole 40mg od, salbutamol inhaler prn, malaria parasite test"
"back pain, skin rash","azithromycin 500mg od, metronidazole 400mg tid, liver function test, stool test"
"productive cough, palpitations","multivitamin daily, cetirizine 10mg od, amoxicillin 500mg tid, urine analysis"
"difficulty breathing, body ache, loss of taste, sneezing","pantoprazole 40mg od, doxycycline 100mg bid, ibuprofen 400mg bid, liver function test, serum electrolytes"
"vomiting, sneezing","cetirizine 10mg od, diclofenac 50mg bid, serum electrolytes"
"skin rash, headache, weight loss","pantoprazole 40mg od, multivitamin daily, loratadine 10mg od, throat swab culture"
"loss of taste, chest pain, productive cough","paracetamol 500mg tid, metronidazole 400mg tid, ibuprofen 400mg bid, urine analysis"
"ear pain, frequent urination, loss of appetite","hydrocortisone cream bid, ondansetron 4mg tid, ibuprofen 400mg bid, kidney function test, serum electrolytes"
"abdominal pain, body ache, sore throat, frequent urination","oral rehydration salts, multivitamin daily, serum electrolytes, spirometry"
"chest pain, ear pain","loratadine 10mg od, ondansetron 4mg tid, atorvastatin 10mg od, throat swab culture, kidney function test"
"body ache, chest pain","salbutamol inhaler prn, cetirizine 10mg od, urine analysis"
"difficulty breathing, skin rash, loss of taste, joint pain","hydrocortisone cream bid, ibuprofen 400mg bid, ondansetron 4mg tid, kidney function test, serum electrolytes"
"burning urination, body ache","ibuprofen 400mg bid, hydrocortisone cream bid, liver function test"
"headache, burning urination","oral rehydration salts, loratadine 10mg od, atorvastatin 10mg od, dengue test, urine analysis"
"loss of appetite, back pain, cough","cetirizine 10mg od, diclofenac 50mg bid, hydrocortisone cream bid, malaria parasite test"
"night sweats, skin rash, itching, diarrhea","diclofenac 50mg bid, atorvastatin 10mg od, malaria parasite test"
"sneezing, loss of taste","multivitamin daily, azithromycin 500mg od, amoxicillin 500mg tid, ecg test, serum electrolytes"
"productive cough, sore throat, abdominal pain","salbutamol inhaler prn, atorvastatin 10mg od, iron supplements od, stool test"
"diarrhea, frequent urination","azithromycin 500mg od, oral rehydration salts, throat swab culture, malaria parasite test"
"cough, difficulty breathing","salbutamol inhaler prn, azithromycin 500mg od, spirometry, stool test"
"skin rash, swelling, back pain, night sweats","oral rehydration salts, pantoprazole 40mg od, serum electrolytes, liver function test"
"dizziness, shortness of breath, sore throat, weight loss","azithromycin 500mg od, doxycycline 100mg bid, metronidazole 400mg tid, stool test, spirometry"
"frequent urination, productive cough, palpitations","oral rehydration salts, paracetamol 500mg tid, blood sugar test, urine analysis"
"headache, cough, ear pain, shortness of breath","oral rehydration salts, hydrocortisone cream bid, ecg test, liver function test"
"loss of appetite, abdominal pain","paracetamol 500mg tid, loratadine 10mg od, urine analysis"
"swelling, burning urination, weight loss, abdominal pain","loratadine 10mg od, atorvastatin 10mg od, ecg test, x-ray chest"
"fever, swelling, shortness of breath, skin rash","loratadine 10mg od, paracetamol 500mg tid, iron supplements od, blood sugar test, malaria parasite test"
"back pain, sore throat, loss of appetite, ear pain","iron supplements od, diclofenac 50mg bid, x-ray chest"
"headache, loss of appetite","doxycycline 100mg bid, multivitamin daily, iron supplements od, malaria parasite test, urine analysis"
"diarrhea, burning urination","amoxicillin 500mg tid, ibuprofen 400mg bid, hydrocortisone cream bid, dengue test, stool test"
"difficulty breathing, fever","paracetamol 500mg tid, loratadine 10mg od, blood sugar test"
"palpitations, loss of appetite, difficulty breathing, night sweats","multivitamin daily, salbutamol inhaler prn, x-ray chest"
"headache, frequent urination","azithromycin 500mg od, salbutamol inhaler prn, urine analysis"
"dizziness, fatigue, itching","paracetamol 500mg tid, doxycycline 100mg bid, cbc blood test"
"sore throat, itching, burning urination, cough","cetirizine 10mg od, salbutamol inhaler prn, kidney function test"
"loss of smell, dizziness","levocetirizine 5mg od, diclofenac 50mg bid, iron supplements od, stool test"
"cough, weight loss, vomiting","pantoprazole 40mg od, amoxicillin 500mg tid, stool test, kidney function test"
"burning urination, cough","cetirizine 10mg od, ibuprofen 400mg bid, kidney function test, serum electrolytes"
"loss of appetite, diarrhea, fatigue, difficulty breathing","amoxicillin 500mg tid, cetirizine 10mg od, serum electrolytes, urine analysis"
"night sweats, chest pain, loss of taste, weight loss","azithromycin 500mg od, doxycycline 100mg bid, liver function test, malaria parasite test"
"productive cough, muscle pain, sore throat","loratadine 10mg od, ondansetron 4mg tid, blood sugar test, dengue test"
"loss of taste, eye redness, skin rash, fever","cetirizine 10mg od, salbutamol inhaler prn, ondansetron 4mg tid, malaria parasite test"
"sore throat, weight loss, loss of smell","paracetamol 500mg tid, hydrocortisone cream bid, dengue test"
"eye redness, loss of smell","ibuprofen 400mg bid, paracetamol 500mg tid, serum electrolytes"
"fatigue, back pain, skin rash","ondansetron 4mg tid, oral rehydration salts, ecg test"
"eye redness, loss of appetite, shortness of breath","amoxicillin 500mg tid, diclofenac 50mg bid, liver function test, cbc blood test"
"abdominal pain, frequent urination, fever","metronidazole 400mg tid, salbutamol inhaler prn, iron supplements od, spirometry"
"diarrhea, shortness of breath, loss of smell, cough","multivitamin daily, iron supplements od, blood sugar test, liver function test"
"difficulty breathing, swelling","salbutamol inhaler prn, ondansetron 4mg tid, iron supplements od, dengue test, serum electrolytes"
"diarrhea, fever, runny nose","hydrocortisone cream bid, doxycycline 100mg bid, ondansetron 4mg tid, spirometry"
"body ache, vomiting, ear pain, joint pain","oral rehydration salts, multivitamin daily, amoxicillin 500mg tid, kidney function test"
"dizziness, headache","diclofenac 50mg bid, multivitamin daily, atorvastatin 10mg od, liver function test, spirometry"
"runny nose, dizziness","azithromycin 500mg od, ondansetron 4mg tid, throat swab culture, liver function test"
"difficulty breathing, sneezing, burning urination","ibuprofen 400mg bid, hydrocortisone cream bid, kidney function test"
"eye redness, runny nose, joint pain","cetirizine 10mg od, ondansetron 4mg tid, paracetamol 500mg tid, cbc blood test"
"runny nose, chest pain, abdominal pain, skin rash","oral rehydration salts, salbutamol inhaler prn, serum electrolytes"
"chest pain, shortness of breath, difficulty breathing","salbutamol inhaler prn, diclofenac 50mg bid, atorvastatin 10mg od, x-ray chest, stool test"
"headache, itching, burning urination, ear pain","pantoprazole 40mg od, oral rehydration salts, stool test, throat swab culture"
"eye redness, swelling, productive cough","metronidazole 400mg tid, oral rehydration salts, x-ray chest, malaria parasite test"
"back pain, headache","azithromycin 500mg od, doxycycline 100mg bid, spirometry, liver function test"
"dizziness, palpitations","metronidazole 400mg tid, cetirizine 10mg od, throat swab culture, urine analysis"
"night sweats, loss of smell","amoxicillin 500mg tid, atorvastatin 10mg od, ecg test"
"itching, diarrhea, loss of appetite, muscle pain","levocetirizine 5mg od, doxycycline 100mg bid, liver function test, ecg test"
"runny nose, fever, sore throat, palpitations","salbutamol inhaler prn, hydrocortisone cream bid, dengue test"
"joint pain, sneezing","diclofenac 50mg bid, azithromycin 500mg od, serum electrolytes"
"difficulty breathing, frequent urination","levocetirizine 5mg od, diclofenac 50mg bid, serum electrolytes"
"difficulty breathing, headache","paracetamol 500mg tid, atorvastatin 10mg od, ibuprofen 400mg bid, x-ray chest"
"weight loss, loss of taste, shortness of breath, night sweats","loratadine 10mg od, metronidazole 400mg tid, spirometry"
"difficulty breathing, burning urination, sore throat, loss of smell","iron supplements od, metronidazole 400mg tid, doxycycline 100mg bid, spirometry"
"eye redness, productive cough, runny nose","azithromycin 500mg od, pantoprazole 40mg od, malaria parasite test"
"frequent urination, weight loss, fatigue, sore throat","salbutamol inhaler prn, oral rehydration salts, liver function test, throat swab culture"
"dizziness, productive cough, joint pain","levocetirizine 5mg od, diclofenac 50mg bid, liver function test"
"frequent urination, diarrhea","amoxicillin 500mg tid, iron supplements od, ibuprofen 400mg bid, spirometry, dengue test"
"joint pain, sneezing","iron supplements od, levocetirizine 5mg od, paracetamol 500mg tid, spirometry"
"swelling, loss of appetite","pantoprazole 40mg od, azithromycin 500mg od, oral rehydration salts, urine analysis"
"runny nose, sore throat","atorvastatin 10mg od, cetirizine 10mg od, diclofenac 50mg bid, ecg test, throat swab culture"
"abdominal pain, loss of smell","loratadine 10mg od, amoxicillin 500mg tid, throat swab culture"
"abdominal pain, back pain","atorvastatin 10mg od, cetirizine 10mg od, pantoprazole 40mg od, stool test"
"itching, loss of smell, headache, sneezing","doxycycline 100mg bid, diclofenac 50mg bid, loratadine 10mg od, serum electrolytes"
"itching, chest pain, back pain","metronidazole 400mg tid, iron supplements od, ecg test"
"headache, runny nose","oral rehydration salts, ibuprofen 400mg bid, x-ray chest, stool test"
"ear pain, dizziness, chest pain, headache","pantoprazole 40mg od, oral rehydration salts, azithromycin 500mg od, kidney function test"
"ear pain, productive cough, fever","amoxicillin 500mg tid, metronidazole 400mg tid, x-ray chest, blood sugar test"
"abdominal pain, back pain, itching","multivitamin daily, atorvastatin 10mg od, cetirizine 10mg od, stool test"
"body ache, loss of smell, back pain, difficulty breathing","iron supplements od, ibuprofen 400mg bid, blood sugar test, kidney function test"
"loss of taste, headache","levocetirizine 5mg od, azithromycin 500mg od, cetirizine 10mg od, throat swab culture, liver function test"
"weight loss, frequent urination, muscle pain","loratadine 10mg od, diclofenac 50mg bid, azithromycin 500mg od, liver function test, spirometry"
"joint pain, palpitations, ear pain","metronidazole 400mg tid, loratadine 10mg od, serum electrolytes, liver function test"
"burning urination, fever, joint pain, swelling","pantoprazole 40mg od, doxycycline 100mg bid, kidney function test"
"muscle pain, loss of smell, productive cough, runny nose","azithromycin 500mg od, iron supplements od, stool test, blood sugar test"
"chest pain, sore throat","azithromycin 500mg od, pantoprazole 40mg od, serum electrolytes, spirometry"
"palpitations, sneezing, joint pain","levocetirizine 5mg od, salbutamol inhaler prn, dengue test"
"loss of smell, sore throat, abdominal pain","ibuprofen 400mg bid, loratadine 10mg od, azithromycin 500mg od, dengue test, kidney function test"
"skin rash, sore throat","diclofenac 50mg bid, metronidazole 400mg tid, azithromycin 500mg od, liver function test"
"back pain, skin rash, ear pain","pantoprazole 40mg od, ibuprofen 400mg bid, urine analysis, throat swab culture"
"frequent urination, skin rash, swelling","metronidazole 400mg tid, ondansetron 4mg tid, stool test, urine analysis"
"loss of appetite, swelling","amoxicillin 500mg tid, pantoprazole 40mg od, hydrocortisone cream bid, dengue test, blood sugar test"
"eye redness, fatigue","amoxicillin 500mg tid, atorvastatin 10mg od, x-ray chest"
"dizziness, headache","doxycycline 100mg bid, levocetirizine 5mg od, atorvastatin 10mg od, throat swab culture"
"burning urination, difficulty breathing","loratadine 10mg od, ibuprofen 400mg bid, blood sugar test, serum electrolytes"
"eye redness, loss of appetite","hydrocortisone cream bid, oral rehydration salts, spirometry"
"muscle pain, headache","loratadine 10mg od, multivitamin daily, stool test"
"abdominal pain, dizziness, vomiting","hydrocortisone cream bid, amoxicillin 500mg tid, spirometry"
"vomiting, muscle pain, weight loss","multivitamin daily, azithromycin 500mg od, spirometry, cbc blood test"
"ear pain, muscle pain, headache, weight loss","multivitamin daily, amoxicillin 500mg tid, malaria parasite test"
"productive cough, chest pain","iron supplements od, salbutamol inhaler prn, cetirizine 10mg od, cbc blood test"
"shortness of breath, loss of smell","doxycycline 100mg bid, diclofenac 50mg bid, multivitamin daily, serum electrolytes"
"fever, palpitations, difficulty breathing, body ache","azithromycin 500mg od, ondansetron 4mg tid, cetirizine 10mg od, x-ray chest, kidney function test"
"weight loss, palpitations, sore throat","cetirizine 10mg od, atorvastatin 10mg od, liver function test, serum electrolytes"
"shortness of breath, fatigue, body ache","amoxicillin 500mg tid, paracetamol 500mg tid, levocetirizine 5mg od, stool test, ecg test"
"swelling, eye redness, muscle pain","hydrocortisone cream bid, levocetirizine 5mg od, malaria parasite test"
